"question","alt","choice","product","cost"
1,1,NA,"clean",5
1,2,NA,"conventional",20
1,3,NA,"vegetarian",10
2,1,NA,"conventional",20
2,2,NA,"vegetarian",15
2,3,NA,"clean",5
3,1,NA,"clean",20
3,2,NA,"vegetarian",5
3,3,NA,"conventional",10
4,1,NA,"conventional",5
4,2,NA,"clean",10
4,3,NA,"vegetarian",15
5,1,NA,"conventional",10
5,2,NA,"clean",15
5,3,NA,"vegetarian",20
6,1,NA,"vegetarian",10
6,2,NA,"conventional",20
6,3,NA,"clean",15
7,1,NA,"clean",20
7,2,NA,"conventional",15
7,3,NA,"vegetarian",10
8,1,NA,"vegetarian",5
8,2,NA,"clean",15
8,3,NA,"conventional",10
9,1,NA,"conventional",5
9,2,NA,"vegetarian",15
9,3,NA,"clean",10
10,1,NA,"conventional",15
10,2,NA,"clean",20
10,3,NA,"vegetarian",5
11,1,NA,"vegetarian",20
11,2,NA,"conventional",5
11,3,NA,"clean",10
12,1,NA,"conventional",15
12,2,NA,"clean",5
12,3,NA,"vegetarian",20
