treat_article,treat_social,ffq_total_sum_meat_wave1pre,FFQfreqDairy_wave1pre,FFQfreqChicken_wave1pre,FFQfreqTurkey_wave1pre,FFQfreqFish_wave1pre,FFQfreqPork_wave1pre,FFQfreqBeef_wave1pre,FFQfreqOther_wave1pre,FFQfreqEggs_wave1pre,FFQfreqFruit_wave1pre,FFQfreqVegetables_wave1pre,FFQfreqNuts_wave1pre,FFQfreqBeans_wave1pre,FFQfreqVegMeats_wave1pre,FFQfreqGrains_wave1pre,FFQfreqFats_wave1pre,FFQfreqSugar_wave1pre,ease_eliminate_wave1,ease_eliminate_wave2,ease_reduce_wave1,ease_reduce_wave2,interest_purchase_wave1pre,interest_purchase_wave1,interest_purchase_wave2,would_eat_wave1pre,would_eat_wave1,would_eat_wave2,expect_reduce_wave1,expect_reduce_wave2,expect_reduce_amt_wave1,expect_reduce_amt_wave2,veg_moral_wave1pre,veg_moral_wave1,harms_wave1pre,harms_wave1,harms_wave2,harms_concern_wave1pre,harms_concern_wave1,harms_concern_wave2,age_wave1pre,gender_wave1pre,educ_wave1pre,income_wave1pre,ideology_wave1pre,wtp_wave1,wtp_wave2,would_eat_chg_wave1pre_wave1,interest_purchase_chg_wave1pre_wave1,veg_moral_chg_wave1pre_wave1,harms_chg_wave1pre_wave1,harms_concern_chg_wave1pre_wave1,would_eat_chg_wave1pre_wave2,interest_purchase_chg_wave1pre_wave2,harms_chg_wave1pre_wave2,harms_concern_chg_wave1pre_wave2
control,not_exposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,1,1,3,1,1,4,5,5,5,2,1,4,4,5,3,1,4,2,61,0,2,3,4,0.25,0.25,0,0,3,1,3,3,2,-1,1
debunk_unnatural,not_exposed,7.5,3.5,3.5,1,1,1,1,0,3.5,3.5,3.5,1,1,3.5,3.5,1,3.5,5,5,5,5,5,5,4,5,5,4,7,6,6,6,6,6,4,4,4,4,4,4,32,1,5,11,3,4,4,0,0,0,0,0,-1,-1,0,0
debunk_unnatural,not_exposed,3.5,1,0,0,3.5,0,0,0,0,3.5,3.5,3.5,1,1,3.5,3.5,1,7,7,7,7,2,3,1,3,1,1,0,10,0,10,7,7,5,5,5,4,5,4,63,0,5,10,3,4,4,-2,1,0,0,1,-2,-1,0,0
embrace_unnatural,not_exposed,8.5,3.5,1,1,3.5,1,1,1,3.5,14,14,3.5,3.5,1,14,14,3.5,7,3,7,6,4,4,4,4,4,4,8,8,7,5,6,7,5,5,5,5,5,4,28,1,5,9,1,4,2.5,0,0,1,0,0,0,0,0,-1
embrace_unnatural,not_exposed,12.5,3.5,3.5,1,3.5,3.5,1,0,1,3.5,14,3.5,3.5,1,3.5,3.5,14,7,NA,7,NA,2,1,NA,2,1,NA,10,NA,10,NA,7,7,5,5,NA,5,5,NA,56,0,2,1,2,4,NA,-1,-1,0,0,0,NA,NA,NA,NA
control,exposed,5.5,3.5,1,1,3.5,0,0,0,1,3.5,3.5,3.5,0,0,1,3.5,0,1,NA,1,NA,2,3,NA,2,1,NA,10,NA,8,NA,4,4,3,3,NA,3,3,NA,65,1,4,2,4,0.25,NA,-1,1,0,0,0,NA,NA,NA,NA
control,not_exposed,10.5,3.5,3.5,0,0,3.5,3.5,0,0,3.5,3.5,1,0,0,14,3.5,3.5,2,1,4,3,2,3,3,2,3,2,1,2,1,2,4,5,1,3,1,2,3,2,42,0,5,12,1,0.7692307692307692,0.7692307692307692,1,1,1,2,1,0,1,0,0
debunk_unnatural,exposed,8.5,28,3.5,1,1,1,1,1,3.5,3.5,3.5,1,1,0,3.5,3.5,14,1,2,3,4,3,3,2,4,5,4,3,3,5,2,5,5,4,4,4,3,3,3,35,0,6,2,2,4,4,1,0,0,0,0,0,-1,0,0
descriptive_norm,exposed,9,3.5,3.5,0,0,1,3.5,1,1,1,3.5,3.5,1,0,1,3.5,3.5,3,2,5,3,3,4,2,3,3,3,4,0,5,0,1,4,1,3,3,1,4,2,62,1,3,8,5,4,4,0,1,3,2,3,0,-1,2,1
control,not_exposed,13.5,3.5,3.5,1,1,3.5,3.5,1,3.5,3.5,3.5,0,1,3.5,3.5,14,1,1,1,2,3,3,3,2,4,4,4,4,2,4,0,4,4,3,4,4,1,1,2,25,0,5,9,2,1.25,1.25,0,0,0,1,0,0,-1,1,1
descriptive_norm,exposed,8.5,14,3.5,1,1,1,1,1,3.5,3.5,3.5,1,0,0,3.5,1,3.5,1,1,1,6,1,1,1,1,1,1,0,2,0,2,3,2,4,3,2,3,2,2,50,1,6,NA,1,0.25,0.25,0,0,-1,-1,-1,0,0,-2,-1
descriptive_norm,exposed,0,0,0,0,0,0,0,0,0,1,3.5,1,3.5,14,14,3.5,3.5,7,7,7,7,5,5,5,5,5,5,10,10,10,10,7,7,5,5,5,5,5,5,43,0,6,5,1,4,4,0,0,0,0,0,0,0,0,0
debunk_unnatural,not_exposed,10,3.5,3.5,1,1,1,3.5,0,1,1,1,1,1,0,3.5,3.5,14,1,NA,3,NA,3,4,NA,3,5,NA,10,NA,4,NA,4,5,3,5,NA,4,5,NA,45,0,4,3,4,1.25,NA,2,1,1,2,1,NA,NA,NA,NA
embrace_unnatural,exposed,12.5,14,3.5,1,1,3.5,3.5,0,0,14,14,3.5,1,0,3.5,3.5,3.5,1,3,1,5,5,5,3,5,5,4,5,10,3,4,5,6,3,4,3,2,3,2,28,0,6,8,2,0.7692307692307692,4,0,0,1,1,1,-1,-2,0,0
control,exposed,16,3.5,3.5,1,3.5,3.5,3.5,1,1,14,3.5,3.5,1,0,14,14,1,1,1,5,2,1,1,2,1,1,3,8,3,7,3,2,2,3,2,3,2,5,3,70,1,4,5,4,1.25,0.5586592178770949,0,0,0,-1,3,2,1,0,1
debunk_unnatural,exposed,13.5,3.5,3.5,1,3.5,1,3.5,1,3.5,1,3.5,3.5,3.5,1,14,3.5,1,2,2,4,5,4,4,3,5,5,3,2,2,2,2,3,3,4,4,4,2,3,3,59,0,6,11,1,1.25,0.25,0,0,0,0,1,-2,-1,0,1
embrace_unnatural,not_exposed,7.5,3.5,3.5,1,1,1,1,0,3.5,3.5,3.5,1,3.5,1,3.5,3.5,0,4,2,5,4,4,4,4,4,4,5,7,2,7,3,4,4,3,4,3,3,3,3,64,0,2,7,4,2.5,0.7692307692307692,0,0,0,1,0,1,0,0,0
descriptive_norm,exposed,12.5,3.5,3.5,1,1,3.5,3.5,0,3.5,3.5,3.5,1,1,0,14,3.5,1,4,3,6,3,1,3,2,2,3,3,5,4,3,4,2,5,1,4,4,1,4,3,64,1,4,2,5,4,1.25,1,2,3,3,3,1,1,3,2
control,exposed,6.5,14,1,0,1,3.5,1,0,3.5,3.5,3.5,1,1,0,3.5,3.5,3.5,5,2,5,3,4,4,3,5,5,4,5,5,7,5,4,3,4,4,4,4,4,4,79,1,3,4,1,4,0.25,0,0,-1,0,0,-1,-1,0,0
debunk_unnatural,not_exposed,16,14,3.5,1,1,3.5,3.5,3.5,1,28,14,28,1,0,3.5,3.5,1,6,6,6,6,1,1,1,2,1,3,0,0,0,0,1,1,1,2,2,1,1,1,68,0,5,NA,4,0.25,0.25,-1,0,0,1,0,1,0,1,0
debunk_unnatural,not_exposed,10,14,3.5,1,1,1,3.5,0,3.5,14,14,1,3.5,1,14,14,1,3,2,5,4,2,2,2,4,4,4,5,2,5,1,2,4,3,4,4,2,3,3,56,0,6,9,3,2.5,4,0,0,2,1,1,0,0,1,1
embrace_unnatural,exposed,10,3.5,3.5,1,3.5,1,1,0,3.5,14,14,3.5,3.5,3.5,3.5,3.5,1,6,5,6,5,1,1,2,2,2,2,0,3,0,3,2,4,1,3,2,1,3,2,74,1,2,6,5,0.25,0.25,0,0,2,2,2,0,1,1,1
debunk_unnatural,exposed,32.5,14,3.5,0,0,1,14,14,1,3.5,3.5,3.5,1,0,3.5,3.5,3.5,2,1,3,5,1,1,2,2,2,3,3,6,2,6,3,4,2,3,2,2,3,3,43,0,6,NA,3,0.25,0.25,0,0,1,1,1,1,1,0,1
embrace_unnatural,exposed,17.5,28,3.5,3.5,3.5,3.5,3.5,0,3.5,3.5,3.5,1,1,0,3.5,3.5,1,5,3,7,5,5,4,4,5,4,4,7,8,6,7,5,5,3,5,4,3,5,3,65,1,2,2,2,4,1.75,-1,-1,0,2,2,-1,-1,1,0
control,not_exposed,18.5,14,3.5,1,3.5,3.5,3.5,3.5,1,14,3.5,14,1,1,14,3.5,0,1,1,4,5,2,2,1,2,2,2,5,2,0,0,4,4,1,4,3,1,3,3,74,0,6,3,4,0.25,0.25,0,0,0,3,2,0,-1,2,2
embrace_unnatural,not_exposed,30,28,1,0,0,1,28,0,28,3.5,1,3.5,1,0,28,1,28,3,1,4,2,1,2,1,2,3,2,7,0,7,0,4,5,3,4,3,1,2,1,35,1,4,7,2,0.25,0.25,1,1,1,1,1,0,0,0,0
descriptive_norm,not_exposed,13.5,14,3.5,3.5,1,3.5,1,1,3.5,14,3.5,1,3.5,1,14,14,14,2,1,3,3,1,1,3,4,4,5,0,3,0,3,4,4,4,3,3,2,3,2,36,0,6,14,2,1.25,1.25,0,0,0,-1,1,1,2,-1,0
embrace_unnatural,exposed,3,1,1,0,1,0,1,0,1,3.5,3.5,1,1,0,3.5,1,1,6,NA,7,NA,4,4,NA,4,4,NA,10,NA,10,NA,4,6,4,5,NA,4,5,NA,74,1,3,NA,3,4,NA,0,0,2,1,1,NA,NA,NA,NA
descriptive_norm,not_exposed,5.5,1,3.5,1,0,0,1,0,1,3.5,3.5,1,1,0,14,3.5,3.5,5,4,6,6,2,4,4,4,4,4,8,5,6,5,5,5,2,5,4,3,5,3,35,0,3,4,3,4,4,0,2,0,3,2,0,2,2,0
control,not_exposed,13.5,1,3.5,3.5,1,1,3.5,1,3.5,3.5,3.5,3.5,1,1,3.5,3.5,14,7,6,7,6,5,5,5,5,5,5,8,5,7,5,6,7,4,5,4,2,5,3,69,1,5,5,1,4,4,0,0,1,1,3,0,0,0,1
descriptive_norm,not_exposed,16,3.5,3.5,3.5,1,3.5,3.5,1,1,3.5,14,1,3.5,0,3.5,1,1,1,1,4,5,2,3,3,3,3,3,4,5,4,1,4,5,4,5,3,2,5,3,59,0,5,9,4,1.25,0.5586592178770949,0,1,1,1,3,0,1,-1,1
descriptive_norm,exposed,15,3.5,3.5,1,3.5,3.5,3.5,0,3.5,3.5,14,3.5,3.5,14,1,1,1,4,NA,5,NA,1,1,NA,1,1,NA,0,NA,0,NA,3,1,1,1,NA,1,1,NA,78,0,5,12,4,0.25,NA,0,0,-2,0,0,NA,NA,NA,NA
embrace_unnatural,exposed,84,14,14,14,14,14,14,14,14,14,28,28,14,14,14,14,14,6,3,6,3,4,3,3,4,4,3,8,4,8,4,6,6,4,4,2,4,4,2,30,0,6,9,5,4,0.25,0,-1,0,0,0,-1,-1,-2,-2
debunk_unnatural,exposed,13.5,14,3.5,1,3.5,1,1,3.5,1,1,3.5,1,1,1,3.5,1,14,2,1,5,2,1,1,1,1,1,2,6,6,6,5,5,5,3,4,3,2,3,2,60,0,4,8,2,0.25,4,0,0,0,1,1,1,0,0,0
embrace_unnatural,not_exposed,10,14,3.5,1,1,1,3.5,0,0,3.5,3.5,0,1,0,14,1,14,1,1,1,1,1,1,1,1,1,2,0,0,0,0,2,1,2,2,2,1,1,2,65,1,2,7,3,0.25,0.25,0,0,-1,0,0,1,0,0,1
embrace_unnatural,not_exposed,16,3.5,3.5,1,3.5,3.5,3.5,1,3.5,14,14,3.5,1,1,3.5,3.5,3.5,4,2,7,5,4,5,4,4,5,5,9,8,9,6,4,6,4,5,4,4,5,4,45,1,6,10,2,4,4,1,1,2,1,1,1,0,0,0
control,exposed,12.5,3.5,3.5,1,0,1,3.5,3.5,3.5,1,0,14,3.5,0,3.5,3.5,14,5,3,6,6,4,4,3,5,4,4,10,10,7,10,7,5,3,4,5,3,2,4,20,1,6,2,2,0.25,0.5586592178770949,-1,0,-2,1,-1,-1,-1,2,1
debunk_unnatural,exposed,0,0,0,0,0,0,0,0,0,1,14,14,3.5,3.5,3.5,3.5,3.5,7,7,7,7,2,2,2,2,2,2,10,0,10,0,7,7,5,5,5,5,5,5,39,1,5,7,1,4,4,0,0,0,0,0,0,0,0,0
embrace_unnatural,exposed,13.5,3.5,3.5,1,3.5,1,3.5,1,3.5,3.5,3.5,1,0,0,1,3.5,0,3,3,5,5,4,5,4,5,5,5,1,2,1,2,5,5,4,4,4,3,3,3,31,0,5,8,1,1.75,1.25,0,1,0,0,0,0,0,0,0
descriptive_norm,not_exposed,57,3.5,28,14,0,1,14,0,3.5,3.5,3.5,3.5,1,1,3.5,3.5,3.5,3,2,5,5,5,5,4,5,5,5,5,8,5,6,4,5,3,5,4,4,4,5,66,1,2,5,3,4,4,0,0,1,2,0,0,-1,1,1
control,not_exposed,3,14,1,1,1,0,0,0,3.5,3.5,14,14,14,1,14,14,1,7,6,7,6,2,3,4,3,3,5,10,8,10,5,7,7,5,5,5,5,5,5,57,1,5,9,1,4,4,0,1,0,0,0,2,2,0,0
descriptive_norm,not_exposed,9,3.5,3.5,1,1,0,3.5,0,3.5,3.5,3.5,0,0,0,3.5,3.5,3.5,1,2,2,1,3,5,3,3,4,5,5,5,5,2,4,4,3,5,3,3,5,3,34,1,2,5,3,0.7692307692307692,4,1,2,0,2,2,2,0,0,0
embrace_unnatural,not_exposed,16,3.5,3.5,1,3.5,3.5,3.5,1,3.5,14,14,1,3.5,0,14,3.5,14,6,5,7,6,4,5,4,4,5,5,9,7,9,8,5,6,4,5,5,3,5,4,65,1,3,5,2,4,4,1,1,1,1,2,1,0,1,1
embrace_unnatural,not_exposed,7.5,1,3.5,1,1,1,1,0,3.5,3.5,3.5,1,1,0,14,3.5,14,1,3,5,5,1,1,2,1,3,3,1,5,1,5,2,2,1,1,4,1,1,3,41,1,4,10,3,1.25,0.25,2,0,0,0,0,2,1,3,2
debunk_unnatural,not_exposed,4.5,3.5,3.5,0,1,0,0,0,3.5,3.5,3.5,1,1,0,3.5,1,0,3,3,4,4,2,3,3,3,3,3,6,6,5,6,4,4,3,4,3,2,2,2,67,0,6,11,4,0.25,0.25,0,1,0,1,0,0,1,0,0
control,exposed,7.5,3.5,1,1,1,1,3.5,0,1,3.5,3.5,1,1,0,14,14,3.5,1,3,2,5,3,4,3,3,3,4,5,5,5,5,1,3,2,5,5,2,5,5,65,1,3,2,5,0.7692307692307692,4,0,1,2,3,3,1,0,3,3
embrace_unnatural,exposed,16,28,1,0,0,1,14,0,28,14,0,0,0,0,14,14,28,4,4,4,4,3,3,2,3,3,3,5,5,4,5,4,4,2,3,3,1,3,3,53,1,1,1,NA,4,0.7692307692307692,0,0,0,1,2,0,-1,1,2
control,exposed,8.5,14,3.5,1,1,1,1,1,1,14,3.5,1,1,0,1,14,1,3,5,5,6,4,4,4,4,4,4,7,5,6,6,5,5,4,4,4,2,3,3,67,0,5,10,2,4,4,0,0,0,0,1,0,0,0,1
embrace_unnatural,exposed,3.5,14,0,0,3.5,0,0,0,3.5,14,3.5,14,3.5,0,3.5,0,0,6,7,6,7,1,1,2,1,1,3,10,10,10,10,6,6,1,1,1,1,1,1,52,1,2,2,4,0.25,4,0,0,0,0,0,2,1,0,0
control,exposed,18.5,28,1,0,3.5,0,14,0,14,28,14,0,0,0,0,0,0,1,4,1,4,1,1,3,1,1,3,5,5,5,5,1,1,1,1,3,1,1,3,50,0,4,8,3,0.7692307692307692,4,0,0,0,0,0,2,2,2,2
control,not_exposed,8,1,3.5,1,3.5,0,0,0,3.5,14,14,14,3.5,3.5,3.5,3.5,3.5,5,3,5,5,4,4,3,4,4,4,8,10,8,8,4,7,5,5,4,3,5,4,84,1,6,10,3,4,4,0,0,3,0,2,0,-1,-1,1
descriptive_norm,not_exposed,7.5,14,3.5,1,1,1,1,0,3.5,14,3.5,14,3.5,3.5,3.5,3.5,3.5,5,2,5,7,5,1,2,5,2,3,10,7,10,5,4,7,5,5,4,4,5,4,74,0,6,6,1,0.25,4,-3,-4,3,0,1,-2,-3,-1,0
debunk_unnatural,not_exposed,6,3.5,1,1,1,1,1,1,1,3.5,3.5,1,28,1,3.5,1,3.5,1,1,2,1,1,1,2,2,2,3,8,3,8,5,2,2,1,2,1,1,2,1,74,1,5,NA,5,0.25,0.25,0,0,0,1,1,1,1,0,0
control,exposed,28,1,14,0,14,0,0,0,28,28,28,1,1,1,3.5,1,0,1,5,1,6,3,1,5,4,1,5,10,8,10,7,7,7,5,5,5,4,5,4,33,1,6,11,3,4,4,-3,-2,0,0,1,1,2,0,0
embrace_unnatural,exposed,8.5,14,1,1,1,1,3.5,1,3.5,14,3.5,3.5,1,0,3.5,3.5,3.5,1,1,5,5,4,2,1,4,3,2,3,2,4,1,2,4,3,3,2,2,2,2,61,0,2,7,3,0.25,0.25,-1,-2,2,0,0,-2,-3,-1,0
control,exposed,9,3.5,3.5,1,0,3.5,1,0,3.5,3.5,3.5,3.5,3.5,1,3.5,14,14,3,1,5,1,1,1,2,1,1,3,2,3,2,2,4,2,3,3,2,3,3,2,60,1,5,8,3,0.25,0.25,0,0,-2,0,0,2,1,-1,-1
embrace_unnatural,not_exposed,13.5,14,1,3.5,1,3.5,3.5,1,3.5,3.5,3.5,1,1,0,14,14,14,2,3,4,3,2,3,3,4,4,4,5,6,5,6,4,4,2,3,3,2,3,3,57,0,6,10,NA,4,0.25,0,1,0,1,1,0,1,1,1
